date,action,stock,shares,price,value,pnl_pct,reason
2020-02-12,SELL,SH603456,14200,15.170000000000005,215414.0000000001,-15.769017212659609,rebalance
2020-02-12,BUY,SZ000933,2633200,0.43000000000000105,1133747.9588000027,0.0,signal
2020-02-12,BUY,SZ000652,29000,7.990000000000003,232011.22300000006,0.0,signal
2020-02-13,SELL,SZ000652,29000,8.050000000000002,233450.00000000006,0.7509386733416612,rebalance
2020-02-13,BUY,SZ300654,22400,10.407443438914028,233429.79778461537,0.0,signal
2020-02-14,SELL,SZ000933,2633200,0.6100000000000008,1606252.000000002,41.8604651162789,rebalance
2020-02-14,SELL,SZ300654,22400,8.09975113122172,181434.4253393665,-22.173479214537117,rebalance
2020-02-14,BUY,SH600096,1264500,0.8299999999999998,1050899.3954999996,0.0,signal
2020-02-14,BUY,SZ300390,130800,5.576923076923077,730409.8384615383,0.0,signal
2020-02-17,SELL,SH601699,38242700,0.3380000000000006,12926032.600000022,4124.999999999769,hold_end
2020-02-17,SELL,SZ002838,40300,18.371,740351.2999999999,-5.015252572255823,rebalance
2020-02-17,BUY,SZ000933,2729100,0.5900000000000003,1612262.2197000007,0.0,signal
2020-02-17,BUY,SH601699,7741300,0.20799999999999974,1612283.6475199978,0.0,signal
2020-02-17,BUY,SH688166,26800,59.90200000000001,1607460.58568,0.0,signal
2020-02-17,BUY,SZ300320,236500,6.808,1612185.1195999999,0.0,signal
2020-02-17,BUY,SH603993,375500,4.28742,1612019.1140729997,0.0,signal
2020-02-17,BUY,SZ300160,182400,8.825000000000003,1611772.5840000003,0.0,signal
2020-02-17,BUY,SZ002391,26000,61.81164868,1609192.099405384,0.0,signal
2020-02-17,BUY,SH600622,416500,3.866,1612282.2456999999,0.0,signal
2020-02-18,SELL,SH688166,26800,55.99200000000001,1500585.6000000003,-6.52732796901605,rebalance
2020-02-18,SELL,SH603993,375500,4.22742,1587396.2100000002,-1.3994430216773601,rebalance
2020-02-18,SELL,SZ002391,26000,59.77692359,1554200.01334,-3.2918149466192093,rebalance
2020-02-18,SELL,SH600622,416500,3.786,1576869.0,-2.069322296947751,rebalance
2020-02-18,BUY,SH603387,100000,17.23510204081633,1725750.7673469388,0.0,signal
2020-02-18,BUY,SZ002215,298800,5.77,1726317.2987999995,0.0,signal
2020-02-19,SELL,SZ300320,236500,6.898000000000001,1631377.0000000002,1.3219741480611225,rebalance
2020-02-19,SELL,SH603387,100000,16.66367346938776,1666367.346938776,-3.315492824326227,rebalance
2020-02-19,SELL,SZ002215,298800,5.31,1586627.9999999998,-7.9722703639514725,rebalance
2020-02-19,BUY,SZ300816,31400,50.013761800000005,1572473.682276676,0.0,signal
2020-02-19,BUY,SZ002432,1220500,1.2900000000000005,1576491.7785000005,0.0,signal
2020-02-19,BUY,SH688300,72800,21.618010432058103,1575837.0879611198,0.0,signal
2020-02-19,BUY,SH600546,242900,6.4819999999999975,1576524.621139999,0.0,signal
2020-02-19,BUY,SZ300504,57500,27.3662376,1575604.2882605998,0.0,signal
2020-02-19,BUY,SZ000803,71800,7.244897959183674,520859.91224489786,0.0,signal
2020-02-20,SELL,SZ000933,2729100,0.7000000000000008,1910370.0000000023,18.64406779661025,rebalance
2020-02-20,SELL,SH601699,7741300,0.3080000000000003,2384320.4000000022,48.07692307692339,rebalance
2020-02-20,SELL,SZ300816,31400,48.00376180000001,1507318.12052,-4.01889385573072,rebalance
2020-02-20,SELL,SZ002432,1220500,0.98,1196090.0,-24.031007751938017,rebalance
2020-02-20,SELL,SH688300,72800,19.94816904918733,1452226.7067808378,-7.724306490270283,rebalance
2020-02-20,SELL,SZ300504,57500,27.94311465,1606729.092375,2.107988165680452,rebalance
2020-02-20,SELL,SZ000803,71800,6.959183673469389,499669.3877551021,-3.9436619718309696,rebalance
2020-02-20,BUY,SZ300818,103800,15.910234432234434,1653629.2611002196,0.0,signal
2020-02-20,BUY,SZ002975,34100,48.33529592307692,1650376.2946451928,0.0,signal
2020-02-20,BUY,SH600391,96900,17.03,1652352.2690999997,0.0,signal
2020-02-20,BUY,SH600893,66500,24.827,1653141.7941499997,0.0,signal
2020-02-20,BUY,SZ002023,95500,17.29,1653341.5534999997,0.0,signal
2020-02-20,BUY,SZ300102,239700,6.889,1653439.9812899998,0.0,signal
2020-02-21,SELL,SH600096,1264500,0.9800000000000002,1239210.0000000002,18.072289156626553,hold_end
2020-02-21,SELL,SZ300390,130800,6.899999999999999,902519.9999999998,23.724137931034473,hold_end
2020-02-21,SELL,SH600546,242900,8.161999999999999,1982549.7999999998,25.917926565874772,rebalance
2020-02-21,SELL,SZ300818,103800,14.668476190476191,1522587.8285714285,-7.804776523232226,rebalance
2020-02-21,SELL,SZ002975,34100,51.00068053846156,1739123.2063615392,5.514364946945727,rebalance
2020-02-21,SELL,SH600391,96900,18.66,1808154.0,9.571344685848505,rebalance
2020-02-21,SELL,SH600893,66500,25.297,1682250.5,1.893100253755997,rebalance
2020-02-21,SELL,SZ002023,95500,18.08,1726639.9999999998,4.569115095430876,rebalance
2020-02-21,SELL,SZ300102,239700,7.908999999999999,1895787.2999999998,14.806212803019282,rebalance
2020-02-21,BUY,SH601699,5774400,0.2980000000000005,1723008.2025600024,0.0,signal
2020-02-21,BUY,SZ002613,376500,4.569999999999999,1722841.7864999995,0.0,signal
2020-02-21,BUY,SH600096,1933400,0.8900000000000003,1722962.9438000005,0.0,signal
2020-02-21,BUY,SZ002580,311500,5.523999999999999,1722962.9437999995,0.0,signal
2020-02-21,BUY,SZ000933,2423600,0.7100000000000006,1722992.9828000013,0.0,signal
2020-02-21,BUY,SZ002432,1830600,0.94,1723000.9931999997,0.0,signal
2020-02-21,BUY,SZ300337,357000,4.820000000000001,1722976.9620000003,0.0,signal
2020-02-24,SELL,SZ300160,182400,10.945000000000002,1996368.0000000005,24.022662889518397,hold_end
2020-02-24,SELL,SZ002580,311500,5.333999999999999,1661540.9999999995,-3.439536567704571,rebalance
2020-02-24,SELL,SZ000933,2423600,0.7600000000000005,1841936.0000000012,7.042253521126729,rebalance
