date,value
2020-07-17,6335948.416603719
2020-07-20,7221483.985207173
2020-07-21,7326723.225152204
2020-07-22,7663465.199633565
2020-07-23,7804500.037898293
2020-07-24,7415675.346025476
2020-07-27,7435232.758056153
2020-07-28,9210470.062122716
2020-07-29,9617733.318232413
2020-07-30,10083617.44620536
2020-07-31,11176998.56455204
2020-08-03,13685793.094419293
2020-08-04,13712382.584630176
2020-08-05,13770467.189720819
2020-08-06,14131453.217900226
2020-08-07,14590106.050407205
2020-08-10,15344931.298084937
2020-08-11,14290745.595227499
2020-08-12,14526222.334963968
2020-08-13,14201804.974636821
2020-08-14,13695154.149980731
2020-08-17,14161560.968621504
2020-08-18,15520418.771055166
2020-08-19,15007224.868865158
2020-08-20,12361238.152825663
2020-08-21,12640856.675186742
2020-08-24,13238939.13392079
2020-08-25,13071126.76480947
2020-08-26,15160601.406047437
2020-08-27,13247948.915545845
2020-08-28,16605502.157918122
2020-08-31,16601598.192268092
2020-09-01,16438788.279518066
2020-09-02,19454711.076841813
2020-09-03,19092878.99381908
2020-09-04,19558887.205039084
2020-09-07,20345075.283056486
2020-09-08,21620198.489889786
2020-09-09,15536581.887213558
2020-09-10,13330631.438753197
2020-09-11,11528187.214983493
2020-09-14,12844878.916867478
2020-09-15,12603517.046796981
2020-09-16,12990377.186986418
2020-09-17,12656767.197113425
2020-09-18,16300994.05476159
2020-09-21,18021800.863002434
2020-09-22,21110933.80233469
2020-09-23,19040485.419892147
2020-09-24,17091262.847457863
2020-09-25,15755525.658566128
2020-09-28,18706401.703192525
2020-09-29,15414413.950127289
2020-09-30,13351699.411646875
2020-10-09,14951596.57765661
2020-10-12,17750050.67925526
2020-10-13,19134756.638269376
2020-10-14,19353922.647627965
2020-10-15,20486018.54957997
2020-10-16,20559956.820758417
2020-10-19,20087926.041243438
2020-10-20,17850594.43975319
2020-10-21,16477705.134811655
2020-10-22,15532896.96659236
2020-10-23,14868717.201957792
2020-10-26,14699151.27790723
2020-10-27,14499388.030072182
2020-10-28,15443823.778377848
2020-10-29,15070478.004169168
2020-10-30,14601943.60371193
2020-11-02,14094986.84595732
2020-11-03,13848887.462768966
2020-11-04,13019796.852224618
2020-11-05,13453594.052031957
2020-11-06,13977141.381619263
2020-11-09,15821801.636556592
2020-11-10,16182436.660735868
2020-11-11,15749291.41079822
2020-11-12,17571305.156873614
2020-11-13,16188180.634236442
2020-11-16,22102366.66202273
2020-11-17,20888245.658632647
2020-11-18,21508357.80459888
2020-11-19,21854969.188014995
2020-11-20,24080549.301673185
