rank,instrument,composite_score,momentum_5d,reversal_5d,momentum_10d,momentum_20d,volatility_20d,score_momentum_5d,score_reversal_5d,score_momentum_10d,score_momentum_20d,score_volatility_20d
20,SH688135,1.3554229781822726,1.311919679554873,-1.311919679554873,3.1739095984928225,3.428940679842648,0.17426461257589312,0.26238393591097464,-0.26238393591097464,0.6347819196985646,0.6857881359685296,0.03485292251517862
21,SZ000978,1.2956321175808274,0.3553091165477384,-0.3553091165477384,2.7898460878558264,2.973964182114093,0.7143503179342168,0.07106182330954768,-0.07106182330954768,0.5579692175711654,0.5947928364228187,0.14287006358684337
22,SH688137,1.293974272486665,1.7529846421600996,-1.7529846421600996,1.4672820241899043,3.1776156206209407,1.8249737176224792,0.35059692843201995,-0.35059692843201995,0.29345640483798086,0.6355231241241882,0.36499474352449585
23,SZ002579,1.275395858281102,1.617882706271334,-1.617882706271334,3.2841649575426892,2.5700423472449514,0.5227719866178697,0.3235765412542668,-0.3235765412542668,0.6568329915085379,0.5140084694489903,0.10455439732357395
24,SH688170,1.2572019151159455,1.0964049365410147,-1.0964049365410147,3.164153950018634,2.6122056013134016,0.5096500242476923,0.21928098730820295,-0.21928098730820295,0.6328307900037269,0.5224411202626803,0.10193000484953847
25,SZ300903,1.2540685054070264,2.590181554454706,-2.590181554454706,2.2176369510600162,3.3322743902706264,0.7204311857044898,0.5180363108909413,-0.5180363108909413,0.44352739021200327,0.6664548780541253,0.14408623714089797
26,SH603186,1.2461477125510825,1.7090594085244277,-1.7090594085244277,2.996939697281933,2.6764403217046824,0.5573585437687971,0.3418118817048856,-0.3418118817048856,0.5993879394563866,0.5352880643409365,0.11147170875375943
27,SH688001,1.213827217180445,0.692082669249344,-0.692082669249344,3.1393016518055687,2.090520539938793,0.8393138941578631,0.13841653384986882,-0.13841653384986882,0.6278603303611138,0.4181041079877586,0.16786277883157263
28,SZ002913,1.2058057968334261,1.674295989250783,-1.674295989250783,2.848590127764512,2.8407170647589868,0.3397217916436322,0.3348591978501566,-0.3348591978501566,0.5697180255529024,0.5681434129517974,0.06794435832872645
29,SZ002514,1.204944013070413,2.078076345844858,-2.078076345844858,1.5846607494454126,3.619198287283751,0.8208610286229013,0.4156152691689716,-0.4156152691689716,0.3169321498890825,0.7238396574567503,0.16417220572458027
30,SZ002988,1.1825806098672453,0.673850441011222,-0.673850441011222,2.8918253340956195,2.764339535154465,0.25673818008614224,0.13477008820224443,-0.13477008820224443,0.5783650668191239,0.552867907030893,0.05134763601722845
31,SH688028,1.1825051103235498,0.40612754487781544,-0.40612754487781544,2.7664384284364734,2.689663924605566,0.45642319857571,0.08122550897556309,-0.08122550897556309,0.5532876856872947,0.5379327849211132,0.091284639715142
32,SZ300464,1.1579581450333245,2.3617265823421225,-2.3617265823421225,2.037984368656069,3.291356610518938,0.4604497459916149,0.47234531646842454,-0.47234531646842454,0.40759687373121384,0.6582713221037877,0.09208994919832299
33,SZ301046,1.1566089260300798,0.19299879297211428,-0.19299879297211428,1.9819523089452808,3.4301582368098296,0.3709340843952879,0.038599758594422856,-0.038599758594422856,0.3963904617890562,0.686031647361966,0.07418681687905758
34,SH688813,1.1500295455709988,2.226912558758584,-2.226912558758584,2.7659283912135746,2.0711517849353522,0.9130675517060673,0.4453825117517168,-0.4453825117517168,0.5531856782427149,0.41423035698707045,0.18261351034121348
35,SZ300553,1.1261035210068604,0.6893007122808633,-0.6893007122808633,2.2866232424660913,2.801295272894616,0.5425990896735939,0.13786014245617267,-0.13786014245617267,0.4573246484932183,0.5602590545789232,0.10851981793471879
36,SZ003006,1.123369537991864,1.6290914055524992,-1.6290914055524992,2.809468587260594,2.8342265603799763,-0.026847457681250745,0.3258182811104999,-0.3258182811104999,0.5618937174521188,0.5668453120759953,-0.005369491536250149
37,SH688143,1.0904155241857878,1.1750403899645525,-1.1750403899645525,1.036594546487593,3.3148597186009794,1.100623355840366,0.2350080779929105,-0.2350080779929105,0.20731890929751862,0.662971943720196,0.22012467116807322
38,SZ002708,1.0835855005002024,0.4768230345767495,-0.4768230345767495,1.607685661443598,3.5303398926485103,0.27990194840890287,0.09536460691534991,-0.09536460691534991,0.3215371322887196,0.7060679785297022,0.055980389681780575
39,SH688205,1.0761696152276887,0.19076187563917318,-0.19076187563917318,2.1817285101078885,2.693405779909315,0.5057137861212396,0.03815237512783464,-0.03815237512783464,0.43634570202157774,0.5386811559818631,0.10114275722424793
40,SH603386,1.0510526261732283,2.411095965680561,-2.411095965680561,2.704527149498504,2.5193608619202217,0.031375119447415264,0.48221919313611217,-0.48221919313611217,0.5409054298997008,0.5038721723840444,0.006275023889483053
41,SZ000592,1.041042362791178,1.000352777786562,-1.000352777786562,2.184144927476819,2.61075114022316,0.4103157462559112,0.2000705555573124,-0.2000705555573124,0.43682898549536386,0.522150228044632,0.08206314925118224
42,SZ300151,1.0337423420682361,2.141049029319917,-2.141049029319917,2.527539999716421,2.179356932686397,0.4618147779383625,0.4282098058639834,-0.4282098058639834,0.5055079999432842,0.4358713865372794,0.0923629555876725
43,SH603353,1.0315218956662653,1.2806174401577277,-1.2806174401577277,2.0832882980654044,2.613471480054854,0.4608497002110681,0.25612348803154555,-0.25612348803154555,0.4166576596130809,0.5226942960109708,0.09216994004221363
44,SZ002011,1.0263831625607398,1.135303099785236,-1.135303099785236,2.701018801616699,2.4582355502681104,-0.027338539081111387,0.2270606199570472,-0.2270606199570472,0.5402037603233398,0.4916471100536221,-0.005467707816222278
45,SZ002912,1.0243933068137159,2.8473707314209458,-2.8473707314209458,2.2552405672143188,2.3751232856282454,0.4916026812260149,0.5694741462841891,-0.5694741462841891,0.4510481134428638,0.4750246571256491,0.09832053624520298
46,SH600371,1.021829294001147,-0.223125430286643,0.223125430286643,0.2027557095597758,3.733294367357244,1.1730963930887146,-0.0446250860573286,0.0446250860573286,0.04055114191195516,0.7466588734714489,0.23461927861774293
47,SH603657,1.0214930517440983,2.3959389721993816,-2.3959389721993816,2.8716994912105793,1.9374146824447256,0.2983510850651862,0.47918779443987636,-0.47918779443987636,0.5743398982421158,0.38748293648894516,0.05967021701303724
48,SH605258,1.0171285387373081,1.9205011721854741,-1.9205011721854741,2.175454001146724,2.7697347394855942,0.14045395305422204,0.38410023443709485,-0.38410023443709485,0.43509080022934477,0.5539469478971188,0.028090790610844407
49,SH601595,1.0150789216922436,0.4282910727620249,-0.4282910727620249,2.1201070407084828,2.611263030348542,0.34402453740419237,0.08565821455240498,-0.08565821455240498,0.4240214081416966,0.5222526060697085,0.06880490748083848
50,SH688020,1.000693831215988,1.3122113436184777,-1.3122113436184777,2.9055392318493185,1.530456474403333,0.5674734498272883,0.2624422687236955,-0.2624422687236955,0.5811078463698637,0.30609129488066666,0.11349468996545767
51,SH688622,0.999101008192685,1.7052146542049935,-1.7052146542049935,3.0989334656410947,0.9928230026759355,0.9037485726463944,0.34104293084099874,-0.34104293084099874,0.619786693128219,0.1985646005351871,0.1807497145292789
52,SH603618,0.989048563125491,0.23638806075432922,-0.23638806075432922,1.0126271171549743,3.419127797852563,0.513487900619917,0.047277612150865844,-0.047277612150865844,0.2025254234309949,0.6838255595705127,0.1026975801239834
53,SZ301041,0.9793783640784677,1.4655752088816731,-1.4655752088816731,2.0170003537894106,2.8709112900815703,0.008980176521356992,0.29311504177633463,-0.29311504177633463,0.40340007075788215,0.5741822580163141,0.0017960353042713985
54,SZ000980,0.9648236935349274,0.8351212316486123,-0.8351212316486123,2.078841615276432,2.2669678217540703,0.47830903064413444,0.16702424632972246,-0.16702424632972246,0.41576832305528644,0.45339356435081407,0.0956618061288269
55,SH600869,0.9640497995139782,-0.4758216464951858,0.4758216464951858,1.3139440156566964,2.8160817598737378,0.690223222039456,-0.09516432929903718,0.09516432929903718,0.2627888031313393,0.5632163519747476,0.1380446444078912
56,SZ300788,0.9479929712244675,1.1221115406354194,-1.1221115406354194,2.5592160874152974,1.509414435450325,0.6713343332567148,0.22442230812708389,-0.22442230812708389,0.5118432174830595,0.301882887090065,0.13426686665134296
57,SH603991,0.9265605668936749,0.5131224581529554,-0.5131224581529554,2.1940597569333216,2.5206782473304807,-0.0819351697954271,0.10262449163059109,-0.10262449163059109,0.43881195138666435,0.5041356494660961,-0.01638703395908542
58,SH603083,0.9263841756498118,0.5399358088785788,-0.5399358088785788,2.0727190986603263,2.155299152802697,0.40390262678603495,0.10798716177571577,-0.10798716177571577,0.4145438197320653,0.4310598305605394,0.08078052535720699
59,SH600088,0.9191578761774466,1.9549354303855289,-1.9549354303855289,2.1908974668346692,2.1701449625404163,0.2347469515121468,0.3909870860771058,-0.3909870860771058,0.43817949336693385,0.4340289925080833,0.04694939030242937
60,SH600802,0.9164469294652094,1.4034697254832937,-1.4034697254832937,2.13235192899686,2.269972676680454,0.17991004164873248,0.28069394509665874,-0.28069394509665874,0.4264703857993721,0.4539945353360908,0.0359820083297465
61,SZ301021,0.9139925195125052,1.6673955395482467,-1.6673955395482467,2.125366022406593,1.6792573289557895,0.7653392462001426,0.33347910790964935,-0.33347910790964935,0.42507320448131863,0.33585146579115793,0.15306784924002853
62,SZ001368,0.8969290123619431,1.2872024870180956,-1.2872024870180956,2.344474849196526,2.135903662308877,0.004266550304312618,0.25744049740361913,-0.25744049740361913,0.46889496983930523,0.4271807324617754,0.0008533100608625236
63,SZ002585,0.8914394968124139,3.1365288048228805,-3.1365288048228805,2.5471519760326378,1.5864641575391925,0.3235813504902389,0.6273057609645761,-0.6273057609645761,0.5094303952065276,0.3172928315078385,0.06471627009804778
64,SH605580,0.8897536019117473,0.07151233756923904,-0.07151233756923904,2.065321343990465,1.8701034298097519,0.5133432357585198,0.014302467513847809,-0.014302467513847809,0.413064268798093,0.37402068596195037,0.10266864715170397
65,SZ002491,0.8873945256710791,1.1537256005174827,-1.1537256005174827,1.316522169823666,2.5241892146144713,0.5962612439172585,0.23074512010349657,-0.23074512010349657,0.2633044339647332,0.5048378429228942,0.11925224878345171
66,SH603936,0.8828126419996565,2.0651073020014263,-2.0651073020014263,2.505605622955828,1.5167494909127581,0.3917080961296961,0.4130214604002853,-0.4130214604002853,0.5011211245911656,0.30334989818255165,0.07834161922593923
67,SZ300400,0.8766518376864159,0.60203674514233,-0.60203674514233,2.0316429142899017,1.9145195146285134,0.4370967595136646,0.120407349028466,-0.120407349028466,0.40632858285798035,0.3829039029257027,0.08741935190273292
68,SH605577,0.8732758283290978,-1.9226109188463394,1.9226109188463394,0.8863271181270808,2.3570876708143884,1.1229643527040192,-0.3845221837692679,0.3845221837692679,0.17726542362541617,0.4714175341628777,0.22459287054080385
69,SZ300472,0.8714386621713568,-0.04281474641808358,0.04281474641808358,-4.184006001133707,0.33144162651191134,8.209757685478579,-0.008562949283616717,0.008562949283616717,-0.8368012002267413,0.06628832530238227,1.6419515370957158
70,SZ300290,0.8687419739444098,1.6590540216420242,-1.6590540216420242,2.077086545982941,1.1314838651557582,1.1351394585833496,0.3318108043284049,-0.3318108043284049,0.41541730919658826,0.22629677303115164,0.22702789171666993
71,SZ300499,0.8639163706956919,0.5969329394319444,-0.5969329394319444,1.5253573597920358,2.512452620463232,0.28177187322319164,0.11938658788638888,-0.11938658788638888,0.30507147195840717,0.5024905240926464,0.05635437464463833
72,SH605198,0.8622726455022971,0.8488357242614589,-0.8488357242614589,2.023192266953369,2.0093117529930136,0.27885920756510235,0.1697671448522918,-0.1697671448522918,0.40463845339067384,0.40186235059860276,0.055771841513020476
73,SH600127,0.8617421884725489,-0.9299552299983729,0.9299552299983729,0.028029463839875472,3.3376093404263067,0.9430721380965625,-0.1859910459996746,0.1859910459996746,0.0056058927679750944,0.6675218680852614,0.18861442761931252
74,SZ300939,0.8615314465819136,1.4321263634267403,-1.4321263634267403,2.110434761397772,1.826726666129834,0.3704958053819615,0.28642527268534806,-0.28642527268534806,0.42208695227955445,0.36534533322596685,0.07409916107639229
75,SZ002531,0.8535613562414338,2.3426325802676438,-2.3426325802676438,2.306691044756995,1.8914818943894824,0.06963384206069184,0.4685265160535288,-0.4685265160535288,0.461338208951399,0.3782963788778965,0.01392676841213837
76,SZ300739,0.8490963474162739,1.5094494736787334,-1.5094494736787334,2.17745427972929,1.840334779247756,0.22769267810432364,0.3018898947357467,-0.3018898947357467,0.435490855945858,0.36806695584955124,0.04553853562086473
77,SZ002897,0.8427899435713649,1.4585457336472347,-1.4585457336472347,2.105294005821235,1.856856390900316,0.25179932113527365,0.291709146729447,-0.291709146729447,0.421058801164247,0.3713712781800632,0.05035986422705473
78,SH688625,0.8400347068885939,2.2542085996184142,-2.2542085996184142,2.3500414711771134,1.4621166936235248,0.38801536964233124,0.4508417199236829,-0.4508417199236829,0.4700082942354227,0.292423338724705,0.07760307392846626
79,SH603082,0.8364008532028068,1.2668320965475488,-1.2668320965475488,1.6271916447178103,2.142343411561971,0.4124692097342525,0.25336641930950976,-0.25336641930950976,0.32543832894356206,0.4284686823123942,0.0824938419468505
80,SH603042,0.8348075342166247,-0.25622770407798434,0.25622770407798434,1.6670438567135564,1.9264647317429788,0.580529082626588,-0.051245540815596874,0.051245540815596874,0.3334087713427113,0.3852929463485958,0.1161058165253176
81,SZ002980,0.8280861494417998,-0.5021714415258324,0.5021714415258324,1.9718988982333867,1.6663421015682554,0.5021897474073567,-0.10043428830516649,0.10043428830516649,0.39437977964667736,0.3332684203136511,0.10043794948147133
